单品编码,单品名称,损耗率(%)
1.029E+14,黑牛肝菌,10.17
1.029E+14,海鲜菇(袋)(1),5.96
1.029E+14,秀珍菇,11.93
1.029E+14,虫草花(盒)(1),11.93
1.029E+14,茶树菇(袋),9.97
1.029E+14,黑皮鸡枞菌,11.03
1.029E+14,杏鲍菇(袋),10.03
1.029E+14,白玉菇(袋),6.57
1.029E+14,马兰头,15.16
1.029E+14,甘蓝叶,11.58
1.029E+14,芜湖青椒(1),5.7
1.029E+14,花茄子,6.98
1.029E+14,虫草花(袋),11.13
1.029E+14,野生粉藕,12.69
1.029E+14,洪山菜苔,9.34
1.029E+14,赤松茸,8.75
1.029E+14,牛排菇,8.11
1.029E+14,洪湖莲藕(粉藕),11.81
1.029E+14,组合椒系列,9.43
1.029E+14,长线茄,6.9
1.029E+14,本地黄心油菜,6.73
1.029E+14,青菜苔,10.94
1.029E+14,活体银耳,11.13
1.029E+14,小青菜(1),10.33
1.029E+14,芜湖青椒(2),8.78
1.029E+14,净藕(2),11.62
1.029E+14,鲜藕带(袋),12.69
1.029E+14,鲜粽子叶,10.94
1.029E+14,艾蒿,9.27
1.029E+14,杏鲍菇(250克),9.43
1.029E+14,奶白菜苗,10.94
1.029E+14,小皱皮,8.71
1.029E+14,菊花油菜,3.43
1.029E+14,余干椒,9.43
1.029E+14,辣妹子,0
1.029E+14,紫尖椒,9.43
1.029E+14,紫螺丝椒,0
1.029E+14,水果辣椒,0.18
1.029E+14,双沟白菜,10.75
1.029E+14,枝江红菜苔(份),9.43
1.029E+14,云南生菜(份),9.43
1.029E+14,云南油麦菜(份),9.43
1.029E+14,茼蒿(份),9.43
1.029E+14,菠菜(份),9.43
1.029E+14,菜心(份),9.43
1.029E+14,上海青(份),9.43
1.029E+14,小青菜(2),9.43
1.029E+14,洪山菜薹珍品手提袋,0
1.029E+14,洪山菜薹莲藕拼装礼盒,0
1.029E+14,赤松茸(盒),0
1.029E+14,牛排菇(盒),19.8
1.029E+14,猪肚菇(盒),0
1.029E+14,黑牛肝菌(盒),0
1.029E+14,黑皮鸡枞菌(盒),0
1.029E+14,鱼腥草(份),9.43
1.029E+14,海鲜菇(份),9.43
1.029E+14,鲜木耳(份),9.43
1.029E+14,小米椒(份),9.43
1.029E+14,冰草(盒),10.34
1.029E+14,青尖椒(份),9.43
1.029E+14,杏鲍菇(份),9.43
1.029E+14,七彩椒(份),9.43
1.029E+14,灯笼椒(份),9.43
1.029E+14,红灯笼椒(份),9.43
1.029E+14,双孢菇(份),9.43
1.029E+14,金针菇(份),9.43
1.029E+14,虫草花(份),9.43
1.029E+14,姬菇(份),9.43
1.029E+14,小皱皮(份),9.43
1.029E+14,荸荠(份),9.43
1.029E+14,芜湖青椒(份),9.43
1.029E+14,紫苏(份),9.43
1.029E+14,青杭椒(份),9.43
1.029E+14,红杭椒(份),9.43
1.029E+14,水果辣椒(份),9.43
1.029E+14,青线椒(份),9.43
1.029E+14,红尖椒(份),9.43
1.029E+14,螺丝椒(份),9.43
1.029E+14,襄甜红菜苔(袋),0
1.029E+14,七彩椒(2),9.43
1.029E+14,灯笼椒(2),9.43
1.029E+14,红灯笼椒(2),9.43
1.029E+14,白蒿,0
1.029E+14,鱼腥草,9.43
1.029E+14,西峡香菇(2),9.43
1.029E+14,鲜木耳(2),9.43
1.029E+14,海鲜菇(2),9.43
1.029E+14,姬菇(2),9.43
1.029E+14,高瓜(2),9.43
1.029E+14,竹叶菜(份),9.43
1.029E+14,姜蒜小米椒组合装(小份),9.43
1.029E+14,春菜,29.03
1.029E+14,槐花,16.8
1.029E+14,红薯尖(份),9.43
1.029E+14,蔡甸藜蒿(份),9.43
1.029E+14,红珊瑚(粗叶),9.43
1.029E+14,红橡叶,9.43
1.029E+14,绿牛油,9.43
1.029E+14,保康高山大白菜,9.43
1.029E+14,紫白菜(2),9.43
1.029E+14,黄心菜(2),9.43
1.029E+14,金针菇(2),9.43
1.029E+14,杏鲍菇(2),9.43
1.029E+14,西峡花菇(2),9.43
1.029E+14,青茄子(2),9.43
1.029E+14,紫茄子(1),9.43
1.029E+14,圆茄子(1),9.43
1.029E+14,枝江青梗散花,9.43
1.029E+14,苋菜(份),9.43
1.029E+14,小白菜(份),9.43
1.029E+14,小青菜(份),9.43
1.029E+14,奶白菜(份),9.43
1.029E+14,红椒(份),9.43
1.029E+14,芝麻苋菜,0
1.029E+14,鲜粽叶,0
1.029E+14,双孢菇(盒),0.2
1.029E+14,鲜粽叶(袋)(1),0
1.029E+14,青红杭椒组合装(份),9.43
1.029E+14,花菇(一人份),9.43
1.029E+14,洪湖莲藕(脆藕),9.43
1.029E+14,菌菇火锅套餐(份),9.43
1.029E+14,红椒(2),9.43
1.029E+14,外地茼蒿(份),9.43
1.029E+14,净藕(3),9.43
1.029E+14,蟹味菇与白玉菇双拼(盒),0.84
1.029E+14,龙牙菜,9.43
1.029E+14,黄白菜(1),9.43
1.029E+14,西峡香菇(份) ,9.43
1.029E+14,大白菜秧,0
1.029E+14,野藕(2),9.43
1.029E+14,菌蔬四宝(份),9.43
1.029E+14,青红尖椒组合装(份),9.43
1.029E+14,鹿茸菇(盒),0
1.029E+14,木耳菜(份),9.43
1.029E+14,圆茄子(2),6.71
1.029E+14,芥兰,9.43
1.029E+14,洪湖藕带,24.05
1.029E+14,青线椒,7.8
1.029E+14,藕尖,0
1.029E+14,油菜苔,10.94
1.029E+14,虫草花,11.68
1.029E+14,黄白菜(2),15.61
1.029E+14,紫贝菜,19.58
1.0693E+14,蟹味菇(袋),11.13
1.0693E+14,海鲜菇(袋)(2),0
1.06932E+14,绣球菌,11.13
1.06932E+14,绣球菌(袋),8.34
1.0695E+14,金针菇(袋)(3),11.13
1.0695E+14,金针菇(袋)(2),6.64
1.0695E+14,金针菇(盒),0.45
1.06956E+14,白玉菇(2),7.3
1.06956E+14,蟹味菇(2),16.04
1.06958E+14,白玉菇(盒),0
1.06958E+14,蟹味菇(盒),0
1.06959E+14,海鲜菇(袋)(4),11.13
1.06972E+14,海鲜菇(包),0
1.06972E+14,海鲜菇(袋)(3),1.3
1.06972E+14,鲜粽叶(袋)(2),0
1.06973E+14,鲜粽叶(袋)(3),9.43
1.06973E+14,虫草花(盒)(2),11.13
1.06974E+14,和丰阳光海鲜菇(包),0.12
